timestamp,ground_truth_x,ground_truth_y,ground_truth_z,pgo_x,pgo_y,pgo_z,orientation,binned_data_json
1761086998.505023,0.0,0.0,150.0,60.91682948001615,25.447711878949708,-51.54694465060704,A,"{""bin_start_time"": 1761115797.494744, ""bin_end_time"": 1761115798.494744, ""phone_node_id"": 0, ""measurements"": {""3"": [[48.56963309365536, -10.146725001863352, -45.02260224469771], [50.97216160457556, -10.194494797136478, -45.37522470675149], [55.659278556192746, -10.175227933090824, -47.691817402084716], [53.90638988757445, -10.05909565565257, -49.688184952554295]], ""0"": [[657.2917233083394, 244.70580565583936, 315.35322917116287], [681.2944090110857, 187.02024932051998, 303.68133725062205], [665.2076329246462, 217.6289935414807, 316.1651882622617]], ""2"": [[318.5086613232981, 199.90857453502275, 295.0809964898042], [346.7624666363929, 242.08484080416792, 235.3863241249694], [321.294995346343, 226.81669125831107, 275.1794224356637], [313.0614303436871, 220.11306174157613, 288.06905575211283], [319.14763098279775, 224.45053252551727, 281.29654830281817], [328.11947897908925, 214.7971704021764, 278.4973664179061]], ""1"": [[223.3933886249303, -338.40816560832405, 450.3457642393008], [196.56026997909277, -340.45237435324407, 455.91692342244187], [244.1713845093448, -325.25304009252324, 443.8409567596947]]}}"
1761087595.911391,240.0,300.0,150.0,252.9077858160705,310.62353606669683,-89.5339480083957,A,"{""bin_start_time"": 1761116394.895519, ""bin_end_time"": 1761116395.895519, ""phone_node_id"": 0, ""measurements"": {""3"": [[371.7717601710522, 72.99262816197431, 154.07412038796576], [354.6174577566261, 76.08813504118406, 189.04511197114317], [347.70824762719207, 83.86256785735455, 194.20361542566062], [326.69988635935914, 65.81491621303422, 240.53394990448461], [320.92582894002686, 72.73587047649671, 252.86578547755903]], ""0"": [[350.4918435211494, 92.60393953419461, 159.36115589406768], [351.15554035352005, 99.63183725172982, 148.32155435024336], [352.6027848207606, 91.4519552433765, 152.75082984654415], [353.79303459117045, 102.14386991278845, 142.90597788059895], [352.49017290488706, 95.3731980453544, 153.20127643098937]], ""1"": [[317.666266029849, -8.595796538172117, 217.34593556937654], [313.0036020016285, -0.6063874788634457, 234.32750036696845], [310.0147793407786, 6.071669759212439, 233.2337270135334], [308.8892433579282, -0.5660697373596113, 234.8001595033935], [312.3830694252315, -12.382776319045774, 228.1063015067832]], ""2"": [[307.8839489506705, -38.34897306246807, 266.49170764508784], [322.93709921471356, -46.07577068036091, 246.717760420682], [315.1309251773619, -37.186665099190215, 258.051645868924], [322.2429568596623, -34.551610458002784, 249.49281145776578]]}}"
1761087655.286691,240.0,300.0,150.0,228.16776421086814,322.50775172693614,-46.05065915266681,B,"{""bin_start_time"": 1761116454.278253, ""bin_end_time"": 1761116455.278253, ""phone_node_id"": 0, ""measurements"": {""0"": [[286.1407667730004, -4.545011810730106, 267.8932706474721], [291.6455550780123, -9.471053114797764, 260.257890093912], [289.91884076963123, -6.781687876271119, 262.2633685369386], [290.7999060253152, -10.72921815675084, 265.624356062114], [283.1610601384386, -2.965364084691272, 272.5069185123945], [280.1773812116766, -1.858234006843261, 268.40488450052965]], ""2"": [[323.680553878394, -57.947760501497804, 239.83735341651254], [313.60529199449354, -65.05870572233648, 251.1336011822847], [322.4745587649952, -64.49530700780646, 241.48398357508188], [329.026178249178, -66.88133173585712, 228.26445516544712]], ""3"": [[342.41082684752183, 45.565712537961446, 213.34149033534072], [310.8291127440242, 48.61896137634978, 248.64122599731468], [303.551348183943, 54.18005873815506, 270.22416666693726], [350.25335065224897, 49.86714446163715, 190.892268727979]]}}"
1761087799.580247,240.0,300.0,150.0,237.87856658972356,313.0783190612709,-37.31722039197031,C,"{""bin_start_time"": 1761116598.572602, ""bin_end_time"": 1761116599.572602, ""phone_node_id"": 0, ""measurements"": {""3"": [[324.810228541549, 40.60694203581803, 241.86440766116544], [309.7508613023866, 38.7242585522265, 264.26470767397217], [319.27210617838074, 61.71330757680707, 243.09008594418486], [307.550202987062, 50.253049353164556, 263.34673659137184], [316.59792530342247, 33.9742838259401, 255.09900378496772]], ""2"": [[310.7013611875618, -38.82656517104824, 252.1133911421894], [284.20421144414814, -37.36573269016032, 283.2680148162468], [313.59654037018356, -33.59684152295002, 250.87339856496067], [299.9184682396434, -40.710486856215724, 273.59745735060454], [318.25322274851777, -28.487327546940342, 253.70722965539568]]}}"
1761088527.091979,120.0,180.0,150.0,197.95632805519642,181.4932713716972,-54.05352988300815,A,"{""bin_start_time"": 1761117326.074134, ""bin_end_time"": 1761117327.074134, ""phone_node_id"": 0, ""measurements"": {""3"": [[205.08006291112088, 44.78968025835137, 94.00027839706304], [195.87103662294203, 45.64548974960238, 107.40123964728272], [203.62423657048484, 50.05259443475838, 101.59187010502771], [197.46796476769435, 48.57587835240465, 91.51932546078449], [199.58875415297024, 46.52655188409623, 102.17929920214621]], ""1"": [[221.1105092122375, -65.11829785786065, 399.2377111446262], [222.1514543628396, -52.14606062580335, 397.1064336996887], [239.94437370604166, -59.55803188700434, 387.9169219878942], [291.02327493541816, -84.71534360460407, 352.63829060925565], [272.98186634082634, -84.39759524503984, 365.5871258208276], [297.7556781719693, -80.39640208663063, 343.9796137097015], [273.4620905002572, -85.95997328431564, 362.31666819536315]], ""0"": [[471.01088226089024, 208.72329306014734, 231.9662383321023], [472.09426282792515, 215.74308707381942, 230.66410077169857], [460.79166528192707, 223.45032948542024, 245.6928803599437], [490.4513651574988, 183.37225146479628, 204.14719152581384], [476.2596962255494, 230.13039309948348, 204.2197442046791]], ""2"": [[305.9524297199341, 76.94077347385571, 250.76329102504934], [294.77181907133183, 73.22170037724138, 275.405441622426], [299.31627619919044, 66.35682087552055, 267.685522816502], [281.9638837450525, 76.15889244522334, 280.57296976887034]]}}"
1761088554.674235,120.0,180.0,150.0,148.16522181684155,148.72550670313558,-100.04553332122097,A,"{""bin_start_time"": 1761117353.661055, ""bin_end_time"": 1761117354.661055, ""phone_node_id"": 0, ""measurements"": {""3"": [[152.12393779087833, 27.727895259792298, 108.67599263617964], [119.87051947648771, 13.31854049770168, -125.41800125758687], [178.9777868443603, 47.221140944898146, -58.078530148039945], [162.65666385694746, 44.83365397294049, 59.78087632648619], [191.8838535572261, 49.624538683869226, 33.45133636257557], [173.36096873890688, 42.87039350275238, 35.10133727975221]], ""2"": [[370.2079412458816, 103.85163418251697, 156.15991264119782], [357.6146214619822, 96.53870353813272, 163.75915618914172], [318.0356430304232, 69.2267001159422, 222.02926328140313], [356.62927278346984, 76.5263090257174, 151.60569191436682], [276.75780836724437, 61.40640830941667, 260.4983081063999]], ""0"": [[496.05473447494, 171.90041022806983, 227.0769679391068], [501.11185886809585, 149.29270501645576, 216.6900854460838], [498.4493302935777, 159.74672980910918, 217.9868056676352], [498.58460705304236, 171.38449062608512, 216.6581315866098], [501.48495960076445, 165.4619881714648, 209.18691585413663]], ""1"": [[243.54912700536326, -173.7860464956354, 337.46589868954504], [293.4650858578597, -191.89190006244095, 296.2038859854226], [259.130043413861, -182.19397765618965, 329.4024515788345], [283.46383187859806, -193.07607136526315, 306.545080996022], [262.22004475253806, -197.596976741411, 320.744575811706]]}}"
1761088796.543374,240.0,0.0,150.0,263.13173555254554,22.8107920696676,-26.308195697490095,A,"{""bin_start_time"": 1761117595.528615, ""bin_end_time"": 1761117596.528615, ""phone_node_id"": 0, ""measurements"": {""3"": [[181.40476595228566, -164.0038240598702, 121.34272365302998], [182.9462125274832, -177.32436670796753, 76.43789828002338], [147.3190601210135, -163.4995827738874, 154.68025393638953], [193.3532713122311, -176.98947279047144, 64.72433077452185], [184.91544338464203, -157.43103632609228, 135.2987346546665]], ""0"": [[503.20138834404077, 280.1473236565941, 324.3868675157449], [505.0917553442864, 271.73650564727853, 332.5817045206096], [496.77940838529975, 256.29718007174904, 362.04692360469124], [510.6134033478956, 280.712093962489, 320.46789640254764], [511.6002030967805, 287.6839834499199, 318.94695147895555], [529.5420540280822, 288.4759535113295, 282.70627382753435]], ""2"": [[180.2363669096699, 150.75445137836726, 93.79204354746912], [179.30823329727846, 137.6875162381362, 115.78732808032899], [172.32204990736776, 129.8539786297128, 124.27411375566815], [180.9351459678355, 133.2020177588913, 116.3129202563416]], ""1"": [[318.7924672431682, -192.4824932276993, 536.4054927290196], [379.41181322681183, -197.67764870656632, 498.61731135790524], [330.44765093296525, -187.41536873514463, 533.5773885339923], [302.9819798563848, -176.76474053136306, 557.8863203083448]]}}"
1761088893.069418,240.0,0.0,150.0,255.10406851990209,10.272438355862016,8.271841867869195,A,"{""bin_start_time"": 1761117692.0577521, ""bin_end_time"": 1761117693.0577521, ""phone_node_id"": 0, ""measurements"": {""2"": [[190.46154332371972, 141.91395534635978, 108.19348313414373], [178.6541093090893, 136.14724285516982, 126.92768606537888], [178.78207631220948, 150.58582196443916, 111.54317286499219], [180.37675818251333, 134.3997258424316, 120.10802971094955], [179.68755419120382, 156.03490315859767, 99.64683570023807]], ""3"": [[85.31415231075444, -147.7684464068964, 189.5019304967355], [118.30413676471684, -204.90877562206666, 105.34479055663223], [114.64995493414644, -198.57954703142366, 102.09089741202584], [117.37306194705025, -203.29610673222018, 99.59546835421605], [118.75927963287359, -205.69710619441676, 103.27600885163876], [209.8384440586019, -38.89125681174048, 163.75682440334586]], ""1"": [[238.2771548879659, -225.4062941856246, 568.1126648825917], [239.03660571565578, -229.2278633683534, 568.5772487389181], [232.19513745285153, -233.08028261363384, 569.8447156901606]], ""0"": [[515.2255923201825, 345.4346086124282, 268.6885189045034], [491.3336786471075, 327.55494934302646, 320.75375506451724], [523.5949234822432, 316.35141771823385, 282.9242594958718], [467.84481717370824, 336.6761187708875, 349.35142491919316], [501.09116192307334, 316.16497759342406, 325.4586830704228]]}}"
1761094612.879962,0.0,0.0,0.0,27.75325397866309,4.809226006313787,-184.258912360894,A,"{""bin_start_time"": 1761123411.862112, ""bin_end_time"": 1761123412.862112, ""phone_node_id"": 0, ""measurements"": {""3"": [[135.10896351490067, -26.972913301728124, -129.37940302052215], [135.23323751224478, -29.04334171395697, -131.71733285351294], [135.23042902668178, -27.365498360106514, -132.07899365441344], [131.8923338075479, -27.721956613897486, -135.33996233299143], [136.32880635101185, -32.5032482241404, -131.23260042302073], [142.23363005447894, -36.678197778743616, -128.25484119217097]], ""0"": [[708.4839869677244, 139.02471487325852, 323.11541106039294], [637.4816228770239, 114.01199632154818, 457.6761356995262], [701.72656161791, 120.95698211778107, 348.9960475375967], [646.3076558122497, 116.63849642792334, 448.00320890536926], [659.1310963593444, 124.18670691738586, 413.60350534919775], [621.7790382101703, 114.11780825606235, 473.7804908196075]], ""1"": [[482.68307256363806, -352.13342325623427, 199.7976568590621], [480.6404679807503, -361.00626616289173, 185.20317581070998], [478.1548288151761, -362.4134071971855, 185.4952343443268], [472.68581139105845, -370.766258528279, 168.74983035996823], [468.40661518665087, -375.2644612135864, 177.89836142995122], [482.917721746054, -363.24431026240575, 174.59967092062294]], ""2"": [[386.7252601425392, 295.1393880783579, 180.82398837659187], [389.61587193617856, 310.0254998057588, 153.3775140155843], [381.66394321063547, 310.21411839998444, 180.76458502214774], [394.4984003760649, 312.0034987846856, 139.6740092030033]]}}"
1761094748.838479,240.0,300.0,0.0,266.2974682667956,359.3491347009595,-225.85910389201777,A,"{""bin_start_time"": 1761123547.8245609, ""bin_end_time"": 1761123548.8245609, ""phone_node_id"": 0, ""measurements"": {""2"": [[393.55553151992785, -35.28314284545265, 164.47839809839599], [403.16277916585574, -34.563242534001, 133.1959299708488], [393.93073584745406, -38.694662429827964, 165.41553268700312], [398.81120662458864, -53.63790495524999, 139.81629598387752], [386.98992902598354, -33.58501038117414, 182.07647269804156]], ""3"": [[379.5551737451137, 81.41115333180277, 157.7057202402698], [387.61443935615017, 62.17598066822904, 165.42428428305618], [376.19630495221224, 73.8067806749162, 169.0854791716514], [383.0577736400144, 86.8176946072546, 159.70419517669848], [384.96270078818566, 93.20340292516117, 156.8210594436728]], ""1"": [[373.0281934497258, 24.711113106390552, 155.77011196207417], [373.91559725968114, 27.458645037835293, 158.37344770706395], [380.29382769884256, 27.33985952508725, 142.4013226599793], [378.5006775740052, 37.8461102627619, 141.91867042076552]], ""0"": [[399.9722287587365, 10.054515607171433, -131.00428595154477], [410.31878162736325, 35.17672835519394, -96.59241805680738], [396.17314064134376, -2.9041528170383293, -130.105374719069], [405.65370384789037, 12.039520865657233, -95.85991076468524], [400.469727453634, -10.416726112617484, -126.15660589246525]]}}"
